A00	b1c3 e7e5 b2b3 d7d5 e2e4 d5e4 d2d3
A00	b1c3 d7d5 e2e4 d5e4 f1c4
A00	b1c3 d7d6 f2f4 e7e5 f4e5 b8c6
A00	b1c3 e7e5 e2e3 d7d5 d1h5 c8e6
A00	b1c3 d7d5 f2f4 d5d4 c3e4 f7f5 e4f2 g8f6 g1f3 c7c5 b2b4
A00	b1c3 f7f5 e2e4 f5e4 d2d3
A00	b1c3 b7b5
A00	b1c3 e7e5 e2e3 d7d5 d1h5 g8f6
A00	b1c3 d7d5 f2f4 d5d4 c3e4 c7c5
A00	b1c3 g7g6 h2h4
A00	b1c3 e7e5 g1f3 b8c6 d2d4
A00	b1c3 c7c5 d2d4 c5d4 d1d4 b8c6 d4h4
A00	b1c3 e7e5 f2f4 e5f4 e2e4
A00	b1c3 d7d5 f2f4 d5d4 c3e4 e7e5
A00	b1c3 d7d5 f2f4 d5d4 c3e4 e7e5 g1f3
A00	b1c3 e7e5
A00	b1c3 e7e5 d2d4 e5d4 d1d4 b8c6 d4a4
A00	b1c3 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4
A00	b1c3 d7d5 e2e3 e7e5 d2d4 f8b4
A00	b1c3 c7c5 a1b1
A00	b1c3 g8f6 g2g4
A00	b1c3 d7d5 d2d3 g8f6 g2g3
A00	b1c3 d7d5 f2f4 g7g5
A00	e2e3
A00	e2e3 e7e5 f1c4 b7b5 c4b3
A00	e2e3 e7e5 b1c3 g8f6 f2f4 e5f4 g1f3
A00	e2e3 e7e5 b1c3 b8c6 f2f4 e5f4 g1f3
A00	e2e3 e7e5 b1c3 d7d5 f2f4 e5f4 g1f3
A00	a2a4
A00	a2a4 b7b6 d2d4 d7d5 b1c3 b8d7
A00	a2a4 e7e5 h2h4
A00	a2a4 e7e5 a1a3
A00	a2a4 a7a5
A00	a2a4 e7e5 a4a5 d7d5 e2e3 f7f5 a5a6
A00	a2a4 b7b5 a4b5 c8b7
A01	b2b3
A01	b2b3 d7d5
A01	b2b3 f7f5
A01	b2b3 c7c5
A01	b2b3 d7d5 c1a3
A01	b2b3 g8f6
A01	b2b3 e7e5
A01	b2b3 e7e5 c1b2 b8c6
A01	b2b3 e7e5 c1b2 b8c6 e2e3
A01	b2b3 e7e5 c1b2 b8c6 c2c4 g8f6
A01	b2b3 e7e5 c1b2 b8c6 f2f4
A01	b2b3 b7b5
A01	b2b3 f7f5 c1b2 e7e6 e2e4
A01	b2b3 g8f6 c1b2 g7g6 g2g4
A01	b2b3 b7b6
A02	f2f4
A02	f2f4 g8f6 g1f3 g7g6 b2b4
A02	f2f4 f7f5 d2d4 d7d5
A02	f2f4 e7e5
A02	f2f4 e7e5 b1c3
A02	f2f4 e7e5 f4e5 d7d6 e5d6 g8f6
A02	f2f4 e7e5 f4e5 d7d6 e5d6 f8d6 g1f3 g7g5
A02	f2f4 e7e5 f4e5 d7d6 e5d6 f8d6 g1f3 g8h6 d2d4
A02	f2f4 g7g5
A02	f2f4 h7h6 g1f3 g7g5
A02	f2f4 g8h6
A02	f2f4 e7e5 f4e5 f7f6
A02	f2f4 g8f6 c2c4
A02	f2f4 b7b5
A02	f2f4 e7e5 f4e5 g8e7
